cross	mat	pat	matmult	replicate	norm
AtxAa18	At	Aa	0.5	08-At-x-Aa-18-BR1.At_aa	1.05326479680851
AtxAa18	At	Aa	0.5	09-At-x-Aa-18-BR2.At_aa	1.02840895080877
AtxAa18	At	Aa	0.5	10-At-x-Aa-18-BR3.At_aa	0.984449268766445
AtxAa18	At	Aa	0.5	11-At-x-Aa-18-BR4.At_aa	0.94126600289223
AtxAa26	At	Aa	0.5	12-At-x-Aa-26-BR1.At_aa	1.00267977418901
AtxAa26	At	Aa	0.5	13-At-x-Aa-26-BR2.At_aa	0.871043061029442
AtxAa26	At	Aa	0.5	14-At-x-Aa-26-BR3.At_aa	1.15330430336793
AtxAa26	At	Aa	0.5	15-At-x-Aa-26-BR4.At_aa	1.01260706261338
